2025-09-25 21:12:30 | manifest.yaml | SHA256: 17DECC8E4ACF92E2C3FC70937934F705ADAFBF11D3E89A30C7566E92FB5AC82C
2025-09-25 21:12:30 | CITATION.cff | SHA256: 033979050AA279E299D0F4434A515B7F0267BF2FB9E3141399586FF3DEE53AD2
2025-09-25 21:20:18 | manifest.yaml | SHA256: 17DECC8E4ACF92E2C3FC70937934F705ADAFBF11D3E89A30C7566E92FB5AC82C
2025-09-25 21:20:18 | CITATION.cff | SHA256: 033979050AA279E299D0F4434A515B7F0267BF2FB9E3141399586FF3DEE53AD2
2025-09-25 21:21:51 | manifest.yaml | SHA256: 17DECC8E4ACF92E2C3FC70937934F705ADAFBF11D3E89A30C7566E92FB5AC82C
2025-09-25 21:21:51 | CITATION.cff | SHA256: 033979050AA279E299D0F4434A515B7F0267BF2FB9E3141399586FF3DEE53AD2
2025-09-25 21:24:32 | manifest.yaml | SHA256: 17DECC8E4ACF92E2C3FC70937934F705ADAFBF11D3E89A30C7566E92FB5AC82C
2025-09-25 21:24:32 | CITATION.cff | SHA256: 033979050AA279E299D0F4434A515B7F0267BF2FB9E3141399586FF3DEE53AD2
2025-09-25 21:28:30 | manifest.yaml | SHA256: 17DECC8E4ACF92E2C3FC70937934F705ADAFBF11D3E89A30C7566E92FB5AC82C
2025-09-25 21:28:30 | CITATION.cff | SHA256: 033979050AA279E299D0F4434A515B7F0267BF2FB9E3141399586FF3DEE53AD2
2025-09-25 21:30:48 | manifest.yaml | SHA256: 17DECC8E4ACF92E2C3FC70937934F705ADAFBF11D3E89A30C7566E92FB5AC82C
2025-09-25 21:30:48 | CITATION.cff | SHA256: 033979050AA279E299D0F4434A515B7F0267BF2FB9E3141399586FF3DEE53AD2
2025-09-25 21:32:23 | manifest.yaml | SHA256: 17DECC8E4ACF92E2C3FC70937934F705ADAFBF11D3E89A30C7566E92FB5AC82C
2025-09-25 21:32:23 | CITATION.cff | SHA256: 033979050AA279E299D0F4434A515B7F0267BF2FB9E3141399586FF3DEE53AD2
